列1,列2,列3
flatten,vt.把…弄平；击倒,
credit,vt.&n.相信，信任,
commend,vt.称赞，表扬；推荐,
tanker,n.油船；空中加油飞机,
guitar,n.吉他，六弦琴,
regulation,n.规章，规则；调节,
refrain,vi.抑制，制止，忍住,
warrant,n.许可证，委任状,
rational,a.推理的；适度的,
grant,n.授予物，拨款,
uneasy,a.不安的；拘束的,
divine,a.神的；敬神的,
lining,n.(衣服里的)衬里,
burglar,n.夜盗，窃贼,
gross,a.(语言、举止)粗俗的,
errand,n.差使，差事,
instructor,n.指导者，教员,
herald,ad.传令官；通报者,
senseless,a.愚蠢的，无意义的,
coffin,n.棺材，柩,
void,a.空的；无效的,
orchestra,n.管弦乐队的全部乐器,
velocity,n.迅速，快速,
composer,n.作曲家；调停人,
position,n.主张，立场；形势,
spiral,a.螺旋(形)的，盘旋的,
replacement,n.归还；取代；置换,
lessen,vt.减少,vi.变少
ohm,n.欧姆,
systematically,ad.系统地，有规则地,
govern,vt.决定，支配；控制,
descendant,n.子孙，后裔；弟子,
erect,a.竖起的,
thereof,ad.它的，其；由此,
dependant,n.受赡养者；侍从,
offer,vt.呈现出,vi.出现
possibility,n.可能的事,
ruby,n.红宝石,
forum,n.论坛，讨论会,
baffle,vt.使挫折,n.迷惑
electrode,n.电极；电焊条,
notion,n.概念，意念；看法,
expel,vt.驱逐，开除；排出,
persistence,n.坚持；持续，存留,
ultrasonic,a.超声的,n.超声波
amplitude,n.广大；充足；振幅,
stationery,n.文具；信笺,
bump,vt.撞击,vi.撞
serpent,n.蛇(尤指大蛇或毒蛇),
manuscript,n.手稿，底稿，原稿,
dominant,a.统治的,n.主因
storm,n.爆发,vt.&vi.猛攻
tiresome,a.使人厌倦的，讨厌的,
cigar,n.雪茄烟，叶卷烟,
prejudice,n.偏见，成见；损害,
magician,n.魔法师；变戏法的人,
immortal,a.不朽的；永生的,
substantial,a.物质的；坚固的,
quench,vt.熄灭，扑灭；压制,
diploma,n.毕业文凭，学位证书,
reef,n.礁，礁石，暗礁,
descent,n.下降；出身；斜坡,
desert,vt.遗弃；擅离(职守),
deputy,n.代理人,a.副的
feel,vi.摸起来,
flutter,vi.(鸟)振翼；飘动,
plateau,n.高原；平稳时期,
dessert,n.甜点心,
what,a.所…的，尽可能多的,
probe,n.探针,vt.用探针探查
irritate,vt.激怒；引起不愉快,
breakdown,n.崩溃，倒塌；失败,
adore,vt.崇拜；很喜欢,
propagate,vt.繁殖；传播，普及,
abstract,a.理论上的,n.抽象
stiffness,n.硬度,
initiate,vt.开始，创始；启蒙,
cheat,n.欺诈；骗取,
symptom,n.症状，征候，征兆,
desolate,a.荒芜的；孤独的,
cubic,a.立方体的；立方的,
hinge,n.合页，折叶，铰链,
molecular,a.分子的；克分子的,
patriot,n.爱国者，爱国主义者,
decorative,a.装饰的；可作装饰的,
noted,a.著名的，知名的,
harmonious,a.和谐的，协调的,
pal,n.好朋友；同谋,
tease,vt.逗乐，戏弄；强求,
elemental,a.基本的；自然力的,
rim,n.边；边缘，(眼镜)框,
vocation,n.职业，行业,
Buddhism,n.佛教，释教,
formal,a.形态的；规范的,
adoption,n.收养；采纳，采取,
shorthand,n.速记，速记法,
late,a.去世不久的,
incense,n.香，熏香；香气,
equilibrium,n.平衡，均衡；均衡论,
successor,n.继承人，继任者,
pest,n.害虫；害人虫,
way,n.状态，状况，规模,
advocate,n.辩护者,vt.拥护
antarctic,a.南极的,n.南极区
bugle,n.军号，喇叭,
shutter,n.百叶窗；(相机)快门,
fly,v.飞跑，逃跑，消失,
proficient,a.熟练的，精通的,
controversy,n.争论，辩论，争吵,
flatter,vt.奉承，阿谀，谄媚,
documentary,a.纪录的，文献的,
usage,n.习惯法,
mystery,n.神秘小说，侦探小说,
bureaucracy,n.官僚主义；官僚机构,
formulate,vt.用公式表示,
agreeable,a.惬意的；同意的,
global,a.球面的；全球的,
damn,vt.诅咒,n.诅咒；丝毫
subordinate,a.下级的，辅助的,
heater,n.加热的人，加热器,
magistrate,n.地方行政长官,
headquarters,n.总局，总店,
detach,vt.分开；派遣(军队),
interview,vt.接见，会见，会谈,
shortage,n.短缺，不足额,
undesirable,a.不合需要的；讨厌的,
paragraph,n.小新闻，短评,
baby,n.一家中年龄最小的人,
stalk,n.主茎，叶柄；高烟囱,
Catholic,a.天主教的n.天主教徒,
compulsory,a.强迫的，义务的,
stern,n.艉，船尾；臀部,
diesel,n.柴油发动机，内燃机,
main,n.总管道，干线,
infinitely,ad.无限地，无边地,
constraint,n.强迫，结束；强制力,
ware,n.商品，货物；物品,
significant,a.有效的,
freight,n.运费；货运；负担,
establish,vt.使…被永久地接受,
superficial,a.表面的；肤浅的,
reclaim,vt.开垦，开拓；回收,
productivity,n.生产率；多产,
snack,n.快餐，小吃,
neutron,n.中子,
Mars,n.火星；战争,
beetle,n.甲虫；近视眼的人,
massive,a.粗大的；大而重的,
decline,vt.下倾；偏斜；衰退,
geology,n.地质学；(某地)地质,
radical,a.基本的；激进的,
divert,vt.使转向,vi.转移
insulate,vt.使绝缘，使绝热,
denial,n.否定；拒绝相信,
overlap,vt.与…交搭,vi.重迭
tuberculosis,n.结核病，肺结核,
elevation,n.高度；标高；隆肿,
distort,vt.歪曲，曲解，扭曲,
allied,a.联合的；联姻的,
positive,a.正的；阳性的,
maiden,n.少女，未婚女子,
follower,n.契据的附面；从动件,
advertise,vt.通知,vi.登广告
courtesy,n.礼貌，谦恭，请安,
fireplace,n.壁炉,
fabrication,n.制作，构成；捏造,
tribute,n.贡物；献礼，贡献,
agitation,n.鼓动，煸动；搅动,
tickle,vt.挠，胳肢；逗乐,
offset,n.分支，抵销,vt.抵销
deflection,n.偏斜，歪斜；偏差,
deficient,a.缺乏的；欠缺的,
ought,v.aux,早应该，本应
sting,n.剧痛；刺激,vt.刺
prevalent,a.流行的；盛行的,
spherical,a.球形的，球面的,
concert,n.一齐，一致，协作,
obedience,n.服从，顺从；管辖,
polymer,n.聚合物，多聚物,
arch,n.拱门,vt.用拱连接
bead,n.有孔小珠；露珠,
weaver,n.织布工，编织者,
entry,n.通道；条目,
vaccinate,vt.给…种牛痘,
scheme,vt.计划,vi.搞阴谋
induce,vt.劝诱；引起；感应,
consequence,n.重要(性)，重大意义,
mortgage,n.抵押,vt.抵押
whisker,n.髯，连鬓胡子,
framework,n.机构，组织，体制,
prism,n.棱柱(体)；棱镜,
geometrical,a.几何学的,
romance,n.传奇；浪漫文学,
perplex,vt.迷惑，困惑，难住,
residual,a.剩余的；残数的,
presentation,n.介绍；赠送；呈现,
quantitative,a.量的；定量的,
tragic,a.悲剧性的，悲惨的,
clamp,n.夹子,vt.夹住，夹紧
foresee,vt.预见，预知，看穿,
chip,n.薄片，碎片,
panic,n.恐慌，惊慌,
ashore,ad.在岸上，上岸,
triumphant,a.得胜的；得意洋洋的,
initial,a.词首的,
commission,n.委托，委任；委托状,
villa,n.别墅；城郊小屋,
fret,vt.&vi.(使)烦恼,
personality,n.人格，个性；人物,
bull,n.买空的证券投机商,
mount,v.装配；固定,n.支架
stroll,n.散步，溜达，闲逛,
linger,vi.逗留，徘徊；拖延,
craft,n.技巧,
body,n.物体；(液)体；实质,
receiver,n.接待者；收受者,
chop,n.一块排骨，肉块,
unlimited,a.无限的；不定的,
pace,vi.(马)溜蹄走,
uproar,n.骚动，扰乱；喧嚣,
clown,n.(马戏的)小丑，丑角,
induction,n.就职；归纳推理,
pyjamas,n.(宽大的)睡衣裤,
paper,vt.用纸包装(或覆盖),
monk,n.和尚，僧侣，修道士,
wardrobe,n.衣柜，衣橱，藏衣室,
regularity,n.规则性；整齐,
therein,ad.在那里，在那时,
herb,n.草本植物；香草,
axis,n.轴，轴线；第二颈椎,
hemisphere,n.半球；半球地图,
bankrupt,a.破产的,vt.使破产
report,n.传说，议论,
fake,n.假货，膺品,a.假的
smart,vi.刺疼，扎疼，剧痛,
lace,vi.系带，用带子束紧,
chorus,vt.&vi.合唱,
flee,vi.逃走,vt.逃避
undertaking,n.任务，事业；承担,
positively,ad.确定的，断然,
forsake,vt.遗弃，抛弃，摒绝,
hush,n.沉默,int.嘘！
expedition,n.探险；探险队,
ultraviolet,a.紫外的n.紫外线辐射,
combat,vt.跟…战斗,vi.格斗
predominant,a.占优势的；主要的,
extra,n.附加物；额外的人手,
bearing,n.支承；忍受；方位,
summon,vt.召唤；鼓起(勇气),
unemployment,n.失业；失业人数,
chestnut,n.栗子；栗树；栗色,
historian,n.历史学家；编史家,
personnel,n.人事部门,
confront,vt.使面对；使对证,
safeguard,n.保护措施；护照,
prophecy,n.预言，预言能力,
duke,n.公爵，君主；手,
diagnose,vt.诊断(疾病),
detail,n.琐碎，小事,
slang,n.俚语；行话，黑话,
idleness,n.懒惰；赋闲无事,
lounge,n.(旅馆等的)休息室,
oblige,vt.使感激；施恩惠于,
locust,n.蝗虫；洋槐，刺槐,
sermon,n.布道，讲道，说教,
integrity,n.诚实，正直,
solo,n.独唱，独奏；独唱曲,
board,vt.(收费)供…膳食,
indispensable,a.必不可少的，必需的,
indoor,a.室内的；室内进行的,
longing,n.渴望,a.显示渴望的
cutter,n.用于切割的器械,
transplant,vt.&vi.移植，移种,
crank,n.曲柄,vi.转动曲柄
whale,n.鲸；庞然大物,
parade,vt.夸耀(才能等),
strength,n.兵力；强度,
likelihood,n.可能(性),
drainage,n.排水；下水道,
uniformly,ad.相同地；一贯,
overtake,vt.突然袭击，压倒,
gorgeous,a.绚丽的；极好的,
luncheon,n.午宴，午餐，便宴,
obedient,n.服从的，顺从的,
bait,n.饵；引诱物,
realization,n.(理想等的)实现,
unfit,a.不合适的；无能力的,
antenna,n.触角；天线,
bitterness,n.苦味，辛酸，苦难,
crooked,a.弯的，歪的；畸形的,
furious,a.狂暴的；强烈的,
marsh,n.沼泽地，湿地,
jug,n.带柄水罐，大壶,
decay,vt.使腐朽，使腐烂,
filter,vi.滤过,
unique,a.无可匹敌的；极好的,
participate,vi.参与,vt.分享
speculate,vi.思索，沉思；投机,
incredible,a.难以置信的，惊人的,
scrap,n.碎片；废料,vt.废弃
sorrowful,a.使人伤心的；悲伤的,
carry,vt.刊登,
assessment,n.估定；查定；估计数,
otherwise,ad.另外；在其他方面,
peril,n.危机；危险的事物,
punch,vt.冲压,n.冲压机
severe,a.激烈的；简朴的,
formerly,ad.以前，从前,
gust,n.阵风，一阵狂风,
locality,n.位置，地点，发生地,
administration,n.局(或署、处等),
magnetism,n.磁；魅力；催眠术,
finance,vt.提供资金,
pumpkin,n.南瓜，南瓜藤,
blush,vi.脸红，害臊,n.脸红
lease,n.租约，契约，租契,
pineapple,n.凤梨，波萝,
instability,n.不稳定性；不坚决,
dynamic(al),a.机能上的,
tulip,n.郁金香,
stone,n.果核，(水果的)硬核,
nickname,n.绰号，浑号,
silicon,n.硅(旧名矽),
awake,vi.认识到,
gather,vt.推测，推断,
complement,vt.补充,n.补足(物)
cluster,n.一串,vt.使成群
astonishment,n.惊奇，惊讶,
periodic,n.周期的；一定时期的,
white,a.白种(人)的,
hazard,vt.使遭危险,n.危险
pedlar,n.(挨户兜售的)小贩,
wholesome,a.适合卫生的,
Egyptian,a.埃及的,n.埃及人
overestimate,vt.过高估计,
disgrace,n.失宠，耻辱，丢脸,
blind,n.百叶窗；窗帘；遮帘,
perimeter,n.周(边)，周长,
studio,n.工作室；播音室,
ponder,vt.考虑,vi.沉思
terminal,n.计算机终端；线接头,
reverse,n.背面，反面,
clip,vt.剪；剪辑报刊,
detector,n.发觉者，探测器,
romantic,a.好幻想的,
applaud,vt.喝彩；欢呼vi.欢呼,
unfold,vt.展开,vi.呈现
wedge,n.楔,vt.楔入；挤入
second,vt.支持,
motel,n.汽车游客旅馆,
ripple,n.涟漪，细浪，波纹,
sweeten,vt.使变甜,vi.变甜
penalty,n.处罚，刑罚；罚款,
jam,n.堵塞,vt.使…堵塞
architect,n.建筑师；创造者,
accessory,n.同谋,a.附属的
overflow,vt.从…中溢出,
comparable,a.可比较的；类似的,
deficiency,n.缺乏；不足之数,
merit,vt.值得vi.应受赏(罚),
inversely,ad.相反地,
wind,n.胸口，心窝,
deliberately,ad.审慎地，故意地,
Christ,n.救世主(耶稣基督),
imitation,n.仿制品，伪制物,
mechanism,n.机械装置；机制,
contend,vi.竞争,vt.坚决主张
grateful,a.可喜的，令人愉快的,
snap,vt.猛咬，突然折断,
fixture,n.固定；定期存款,
twist,v.歪曲，曲解,
elapse,vi.(时间)过去，消逝,
quarterly,a.季度的,ad.季度地
obstinate,a.固执的；顽强的,
compact,a.紧密的,vt.使紧凑
indulge,vt.放纵(感情)vi.纵情,
basin,n.内海；盆地，流域,
goddess,n.女神；绝世美女,
likeness,n.同样；类似，相似,
infectious,a.传染的；感染性的,
shady,a.可疑的，靠不住的,
refugee,n.难民，流亡者,
walnut,n.胡桃，核桃树,
complication,n.复杂，混乱；并发症,
banquet,n.宴会，盛会，酒席,
vengeance,n.报复，报仇，复仇,
jog,vt.使(马等)缓步行进,
situation,n.(建筑物等的)位置,
hoe,vt.&vi.锄地,
author,n.创造者，创始人,
ramble,vi.闲逛，漫步；聊天,
steady,a.坚定的，扎实的,
optimism,n.乐观，乐观主义,
equator,n.赤道，天球赤道,
locomotive,a.运动的；机动,
capacitor,n.电容器,
pantry,n.食品柜，餐具室,
elevate,vt.提高(思想)；抬高,
evenly,ad.一致地，平静地,
theme,n.题目；词干；主旋律,
vault,n.拱顶；地下室，地窖,
Venus,n.维纳斯；美人；色情,
mountainous,a.多山的；山一般的,
commonsense,a.有常识的,
thoughtless,a.欠考虑的；自私的,
majesty,n.威严，尊严；陛下,
wrestle,n.摔交；斗争，搏斗,
mixer,n.混合者，搅拌器,
reckon,vi.数，算帐,vt.认为
squat,vi.&vt.(使)蹲下,
satellite,n.附属物,
resultant,a.作为结果而发生的,
outcome,n.后果，成果,
quiver,vi.(轻微地)颤动,
frustrate,vt.挫败；使无效,
patent,a.专利的,n.专利
limestone,n.石灰石,
timely,a.及时的；适时的,
prophet,n.预言家，先知,
ally,n.盟国，同盟者，伙伴,
customary,a.通常的；照惯例的,
bend,vt.使屈从,vi.屈从
fuse,n.保险丝，导火线,
decidedly,ad.明确地，坚决地,
excel,vt.胜过,vi.杰出
appreciation,n.欣赏；鉴别；感激,
millionaire,n.百分富翁，巨富,
salmon,n.鲑，大马哈鱼,
torpedo,n.鱼雷，水雷,
brood,vt.沉思vi.郁闭地沉思,
convention,n.公约，(换俘等)协定,
substance,n.财产；内容，本旨,
towards,prep.为了，有助于,
plead,vt.为…辩护,vi.抗辩
steak,n.大块牛肉；牛排,
gradient,n.斜坡,a.倾斜的
gleam,n.微光,vi.发微光
worship,vt.崇拜,vi.做礼拜
hamper,vt.妨碍，阻碍，牵制,
goodness,n.善良，善行，美德,
net,vt.用网捕；用网覆盖,
sneer,vi.&n.冷笑；嘲笑,
pop,vi.(意外地)出现,
merchandise,n.商品，货物,
hip,n.臀部，髋；屋脊,
narration,n.叙述；故事；叙述法,
finely,ad.精细地，美好地,
cruise,vi.巡航,vt.巡航于…
thigh,n.股，大腿,
integral,a.组成的；整的,
tape,vt.系，捆,
emigrate,vi.永久移居国外,
prudent,a.谨慎的；精明的,
coincide,vi.相符合；相巧合,
gesture,vi.(讲话时等)做手势,
flexible,a.灵活的，可变通的,
curly,a.卷曲的；有卷毛的,
circulation,n.循环；(货币等)流通,
pluck,vt.鼓起(勇气)，振作,
pneumatic,a.空气的；气动的,
disregard,vt.不管，不顾,n.不管
shrug,vt.&vi.耸(肩),n.耸肩
embroidery,n.绣花，刺绣；绣制品,
gangster,n.匪徒，歹徒，暴徒,
metropolitan,a.主要都市的n.大主教,
rinse,vt.涮，嗽；冲洗,
episode,n.一段情节；插曲,
recipe,n.菜谱，烹饪法；处方,
exclamation,n.呼喊，惊叫；感叹,
abbreviation,n.节略，缩写，缩短,
frock,n.(女)上衣，罩衫,
hail,vt.向…欢呼,vi.招呼
responsible,a.重要的；可靠的,
fall,vi.变成，成为；陷于,
deflect,vt.&vi.(使)偏斜,
generosity,n.慷慨，宽宏大量,
nightmare,n.恶梦；经常的恐惧,
abide,vt.遵守,vt.忍受
overlook,vt.眺望；看漏；宽容,
category,n.种类，类目；范畴,
propagation,n.繁殖；传播；蔓延,
explicit,a.明晰的；直率的,
tutor,vt.教，指导,
originate,vi.发源,vt.首创
whereas,conj.而，却，反之,
supplement,n.补角,
entertainment,n.招待，招待会,
kilowatt,n.千瓦(特),
atom,n.微粒；微量,
mansion,n.大厦，大楼；宅第,
flannel,n.法兰绒；法兰绒衣服,
nun,n.修女，尼姑,
Thanksgiving,n.感恩节,
shipwreck,n.船舶失事,
Moslem,n.&a.穆斯林(的),
energize,vt.给与…能量；电压,
appreciable,a.可估价的；可察觉的,
stem,n.词干；(手表的)转柄,
cuckoo,n.杜鹃，布谷鸟,
shame,vt.使羞愧，玷辱,
recreation,n.消遣，娱乐活动,
retail,n.零售,a.零售的
tackle,vt.解决，对付,n.用具
rooster,n.公鸡；狂妄自负的人,
situated,a.位于…的,
sandwich,vt.夹入，挤进,
compensate,vt.&vi.补偿，赔偿,
completion,n.完成，结束，完满,
correlate,n.互相关联的事物,
utensil,n.器皿，用具,
continental,a.大陆的，大陆性的,
doctrine,n.教义，主义；学说,
largely,ad.大规模地,
snail,n.蜗牛；行动缓慢的人,
limp,vi.蹒跚，跛行,n.跛行
analogue,n.类似物；同源语,
fighter,n.斗争者；战斗机,
multiplication,n.增加；繁殖；乘法,
heading,n.标题，题词，题名,
transition,n.转变，变迁；过渡,
propeller,n.螺旋桨，推进器,
shove,vt.推,vi.(使劲)推
scholarship,n.学问，学识；奖学金,
compliment,n.问候,vt.赞美，祝贺
exploration,n.考察；勘探；探查,
souvenir,n.纪念品，黄豆,
rule,n.裁决，裁定,
complaint,n.疾病，病痛；主诉,
discount,n.折扣；打折扣卖,
colonial,a.殖民地的，殖民的,
terminology,n.术语学，术语,
mirror,n.反映，借鉴,
gear,n.齿轮，传动装置,
senator,n.参议员；评议员,
arctic,a.北极的,
dynamo,n.发电机,
trifle,vi.玩忽；闲混；嬉耍,
sentiment,n.感情；情操；情绪,
subject,vt.使隶属,
scripture,n.《圣经》；圣书,
influence,n.势力，权势,
buzz,vi.(蜂等)嗡嗡叫,
bewilder,vt.迷惑，把…弄糊涂,
fill,vt.担任(职务)；填补,
recognition,n.认出，识别；重视,
gorilla,n.大猩猩；暴徒，打手,
resignation,n.听从，屈从，顺从,
chatter,vi.&n.喋喋不休,
flake,n.片，薄片；肌膈,
offspring,n.儿女，子孙，后代,
subsequent,a.尔后的,
implore,vt.乞求，恳求，哀求,
settlement,n.调停；(新)住宅区,
fitness,n.适当，恰当；健康,
gutter,n.沟，边沟；檐槽,
bridle,n.笼子；束缚,vt.抑制
diverge,vi.分岔；分歧,
profitable,a.有利的；有益的,
riot,n.&vi.骚乱，暴乱,
fraction,n.分数；分馏的部分,
sneeze,vi.打喷嚏,
grasshopper,n.蚱蜢，蝗虫，蚂蚱,
instantaneous,a.瞬间的，即刻的,
scout,vt.搜索，侦察，跟踪,
attendant,n.侍者；护理人员,
insert,vi.(肌肉)附着,
bribe,n.贿赂,vt.向…行贿
bridegroom,n.新郎,
broaden,vt.&vi.放宽，变阔,
expect,vt.料想，认为,
violation,n.违犯；侵犯，妨碍,
absorption,n.吸收；专注,
novelty,n.新颖；新奇的事物,
polarity,n.极性；(思想等)归向,
disperse,vt.(使)分散；驱散,
hook,vt.用钩连接，用钩挂,
lighter,n.打火机，引燃器,
correctly,ad.正确地，恰当地,
inadequate,a.不充足的，不适当的,
ruthless,a.无情的，冷酷的,
wrath,n.暴怒，狂怒，愤慨,
interior,n.内部,a.内部的
sophisticated,a.老于世故的；高级的,
subscription,n.预约，用户，订阅费,
haughty,a.傲慢的，轻蔑的,
lily,n.百合，百合花，睡莲,
rascal,n.流氓，恶棍，无赖,
proverb,n.谚语，格言，箴言,
inflation,n.通货膨胀，物价飞涨,
cavity,n.洞，穴，空腔,
endanger,vt.危及，危害,
beforehand,ad.预先；提前地,
skeleton,n.骨骼，骷髅；骨架,
shrill,a.尖声的,vt.尖声地叫
count,n.起拆理由，罪状,
porcelain,n.瓷,a.瓷的，瓷制的
bridge,vt.架桥于，用桥连接,
mess,vt.弄脏，弄乱，搞糟,
drastic,a.激烈的；严厉的,
flush,n.兴奋，脸红；发烧,
observe,vi.说，评述，评论,
warning,n.警告，告诫，鉴诫,
initiative,a.创始的,n.第一步
specification,n.载明，详述；规格,
perch,n.(禽鸟的)栖木,
superb,a.壮丽的；超等的,
restrain,vt.抑制，制止，遏制,
cartoon,n.漫画，动画片,
aerospace,n.航空和宇宙航行空间,
adjacent,a.毗连的；紧接着的,
haunt,vt.常去,vi.经常出没
perfection,n.尽善尽美；无比精确,
dignity,a.尊贵；(举止)庄严,
obligation,n.义务，职责，责任,
grim,a.冷酷无情的，严厉的,
even,a.同一日期的,
patron,n.庇护人；赞助人,
capacitance,n.电容，电容量,
essential,a.特发的；自发的,
deposit,n.押金；寄存物,
bore,n.讨厌的人；麻烦事,
thicken,vt.使变厚(或粗、密),
thresh,vt.打谷，脱粒；推敲,
interconnect,vt.使互相联系,
rectangle,n.矩形，长方形,
client,n.顾客；诉讼委托人,
action,n.作用；情节,
commence,vt.开始,vi.获得学位
wink,vi.眨眼；使眼色,
sofa,n.长沙发，沙发,
stability,n.坚定,
illusion,n.幻想；错觉；假象,
should,v.aux.应该，竟然会,
prevention,n.预防，阻止，妨碍,
nought,n.无，零,
theatre,n.戏剧效果,
peak,n.(物体的)尖端,
pious,a.虔诚的；虔奉宗教的,
conviction,n.确信，信服，深信,
tug,vi.用力拖,n.猛拉，拖
garage,n.汽车修理站；飞机库,
exile,vt.流放,n.被流放者
pant,vi.气喘,
metallic,a.金属的,n.金属粒子
absent,a.不在意的,
butt,n.大酒桶，桶,
ornament,n.装饰物,vt.装修
gamble,n.赌博,vt.冒…的险
define,vt.规定；立(界限),
satisfaction,n.快事，乐事；愉快,
marshal,n.元帅；陆军元帅,
bishop,n.(基督教的)主教,
further,vt.增进,
filament,n.细丝；长丝；灯丝,
classic,n.名著,a.不朽的
improper,a.不适当的；不合理的,
reed,n.芦笛，牧笛,
basement,n.地下室；地窖；底层,
consistent,a.前后一致的，连贯的,
breakfast,vi.吃早餐,
specimen,n.抽样，样品,
lofty,a.高耸的；高尚的,
granite,a.花岗岩，花岗石,
spacious,a.广阔的，广大的,
cooperative,a.合作的,n.合作社
displace,vt.移置；取代；置换,
literally,ad.照字义，逐字地,
generalization,n.一般化；概括，综合,
tropical,a.热带的；炎热的,
erosion,n.腐蚀，侵蚀；糜烂,
scar,n.瘢痕,
slaughter,vt.&n.屠杀，屠宰,
preservation,n.保存，储藏；保持,
impulse,n.推动，冲力；冲动,
innumerable,a.无数的，数不清的,
ornamental,a.装饰的,n.装饰品
disturbance,n.动乱；干扰；侵犯,
refinery,n.精炼厂，提炼厂,
deformation,n.损坏；变形；畸形,
eject,vt.逐出，排斥；喷射,
herd,vt.放牧,vi.成群
nickel,n.镍；镍币,
hop,vi.跳舞；(人)单足跳,
inland,a.国内的；内地的,
inspector,n.检查员；巡官,
pants,n.裤子；男用短衬裤,
harp,n.竖琴；天琴座,
peripheral,a.周界的；末梢的,
infinity,n.大量，大宗；无穷大,
dissolve,vt.解除(婚约等),
shower,vi.下阵雨,vt.使湿透
tilt,vt.&vi.(使)倾斜,
glue,vt.粘牢,
evolution,n.开方；(天体的)形成,
simple,a.单纯的；迟钝的,
